"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Condizioni obbligatorieta'"
"Allegati","Allegato generico","NO","","","",""
"Formula","184","NO","","","",""
"Formula","185","NO","","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Si puo' ignorare la sezione per"
"Formazione atto","Numero comunale","SI","evento","numeroatto","","obbligatoria"
"Formazione atto","Data formazione","SI","evento","dataformazione","","obbligatoria"
"Formazione atto","Ora formazione","SI","evento","ora","","obbligatoria"
"Formazione atto","Minuti formazione","SI","evento","minuto","","obbligatoria"
"Regime patrimoniale","Scelta del regime patrimoniale","NO","evento.datiEventoMatrimonio.regimePatrimoniale","tipo","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,true"
"Regime patrimoniale","Tipo legge regime patrimoniale","NO","evento.datiEventoMatrimonio.regimePatrimoniale","legge","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,true"
"Regime patrimoniale","Nazionalità Legge","NO","evento.datiEventoMatrimonio.regimePatrimoniale","nazioneLegge","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,true"
"Regime patrimoniale - Atto Notarile","Scelta del regime patrimoniale","NO","evento.datiEventoMatrimonio.regimePatrimoniale","tipoAttoNotarile","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Regime patrimoniale - Atto Notarile","Nome Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","nomeNotaio","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Regime patrimoniale - Atto Notarile","Cognome Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","cognomeNotaio","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Regime patrimoniale - Atto Notarile","Distretto Notarile del Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","distrettoNotarile","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Regime patrimoniale - Atto Notarile","Data atto notarile della scelta del regime patrimoniale","NO","evento.datiEventoMatrimonio.regimePatrimoniale","dataAttoNotarile","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Regime patrimoniale - Atto Notarile","Nome Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","nomeNotaio","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1"
"Regime patrimoniale - Atto Notarile","Cognome Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","cognomeNotaio","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1"
"Regime patrimoniale - Atto Notarile","Distretto Notarile del Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","distrettoNotarile","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1"
"Regime patrimoniale - Atto Notarile","Data atto notarile della scelta del regime patrimoniale","NO","evento.datiEventoMatrimonio.regimePatrimoniale","dataAttoNotarile","184,185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1"
"Ente Autorità mittente","Estremi documento","SI","evento.enteDichiarante","estremiDocumento","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Ente Autorità mittente","Nome ente","NO","evento.enteDichiarante","nomeEnte","185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Ente Autorità mittente","Provincia ente","SI","evento.enteDichiarante","idProvinciaEnte","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Ente Autorità mittente","Provincia ente - Descrizione","SI","evento.enteDichiarante","siglaProvinciaEnte","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Ente Autorità mittente","Comune ente","SI","evento.enteDichiarante","idComuneEnte","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Ente Autorità mittente","Comune ente - Descrizione","SI","evento.enteDichiarante","nomeComuneEnte","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Ente Autorità mittente","Indirizzo Ente","NO","evento.enteDichiarante","indirizzoEnte","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Ente Autorità mittente","Data provvedimento","NO","evento.datiEventoMatrimonio.regimePatrimoniale","dataProvvedimento","185","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,1 || evento.datiEventoMatrimonio.regimePatrimoniale.omologazione,=,false"
"Evento da annotare","Id atto","NO","evento.eventoCollegato","idAnsc","","obbligatoria"
"Evento da annotare","Provincia registrazione","SI","evento.eventoCollegato","idProvinciaRegistrazione","","obbligatoria"
"Evento da annotare","Provincia registrazione - Descrizione","SI","evento.eventoCollegato","siglaProvinciaRegistrazione","","obbligatoria"
"Evento da annotare","Comune registrazione","SI","evento.eventoCollegato","idComuneRegistrazione","","obbligatoria"
"Evento da annotare","Comune registrazione - Descrizione","SI","evento.eventoCollegato","nomeComuneRegistrazione","","obbligatoria"
"Evento da annotare","Numero Comunale","SI","evento.eventoCollegato","numeroatto","","obbligatoria"
"Evento da annotare","Anno atto","SI","evento.eventoCollegato","annoAtto","","obbligatoria"
"Evento da annotare","Data atto","SI","evento.eventoCollegato","dataformazione","","obbligatoria"
"Evento da annotare","Tipo registro","SI","evento.eventoCollegato","tipologia","","obbligatoria"
"Sposo","Cognome","NO","evento.intestatari[0]","cognome","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Nome","SI","evento.intestatari[0]","nome","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Identificativo unico nazionale","NO","evento.intestatari[0]","idANPR","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Sesso","SI","evento.intestatari[0]","sesso","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Formato Data Nascita","NO","evento.intestatari[0]","idFormatodata","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Formato Data Nascita - Descrizione","NO","evento.intestatari[0]","formatodata","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Data nascita","NO","evento.intestatari[0]","dataNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Stato di nascita","NO","evento.intestatari[0]","idStatoNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Stato di nascita - Descrizione","NO","evento.intestatari[0]","nomeStatoNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Provincia di nascita","NO","evento.intestatari[0]","idProvinciaNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Provincia di nascita - Descrizione","NO","evento.intestatari[0]","siglaProvinciaNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Comune di nascita","NO","evento.intestatari[0]","idComuneNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Comune di nascita - Descrizione","NO","evento.intestatari[0]","nomeComuneNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Località estera","NO","evento.intestatari[0]","localitaEsteraNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Nazionalità","NO","evento.intestatari[0]","idNazionalita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Nazionalità - Descrizione","NO","evento.intestatari[0]","nazionalita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Comprensione","NO","evento.intestatari[0]","tipoImpedimento","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Residenza non nota","NO","evento.intestatari[0]","flagIrreperibile","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Stato di residenza","NO","evento.intestatari[0]","idStatoResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Stato di residenza - Descrizione","NO","evento.intestatari[0]","nomeStatoResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Provincia di residenza","NO","evento.intestatari[0]","idProvinciaResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Provincia di residenza - Descrizione","NO","evento.intestatari[0]","siglaProvinciaResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Comune di residenza","NO","evento.intestatari[0]","idComuneResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Comune di residenza - Descrizione","NO","evento.intestatari[0]","nomeComuneResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Indirizzo di residenza","NO","evento.intestatari[0]","indirizzoResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","flag dichiarante","SI","evento.intestatari[0]","flagDichiarante","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","flag comparente","SI","evento.intestatari[0]","flagComparente","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Firmatario","NO","evento.intestatari[0]","flagFirmatario","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Età(anni)","NO","evento.intestatari[0]","anni","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Provincia AIRE","NO","evento.intestatari[0]","idProvinciaAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Provincia AIRE - Descrizione","NO","evento.intestatari[0]","siglaProvinciaAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Comune AIRE","NO","evento.intestatari[0]","idComuneAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Comune AIRE - Descrizione","NO","evento.intestatari[0]","nomeComuneAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposo","Residenza al momento dell'evento originario","NO","evento.intestatari[0]","residenzaOriginaria","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Cognome","NO","evento.intestatari[1]","cognome","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Nome","SI","evento.intestatari[1]","nome","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Identificativo unico nazionale","NO","evento.intestatari[1]","idANPR","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Sesso","SI","evento.intestatari[1]","sesso","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Formato Data Nascita","NO","evento.intestatari[1]","idFormatodata","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Formato Data Nascita - Descrizione","NO","evento.intestatari[1]","formatodata","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Data nascita","NO","evento.intestatari[1]","dataNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Stato di nascita","NO","evento.intestatari[1]","idStatoNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Stato di nascita - Descrizione","NO","evento.intestatari[1]","nomeStatoNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di nascita","NO","evento.intestatari[1]","idProvinciaNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di nascita - Descrizione","NO","evento.intestatari[1]","siglaProvinciaNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di nascita","NO","evento.intestatari[1]","idComuneNascita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di nascita - Descrizione","NO","evento.intestatari[1]","nomeComuneNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Località estera","NO","evento.intestatari[1]","localitaEsteraNascita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Nazionalità","NO","evento.intestatari[1]","idNazionalita","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Nazionalità - Descrizione","NO","evento.intestatari[1]","nazionalita","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comprensione","NO","evento.intestatari[1]","tipoImpedimento","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Residenza non nota","NO","evento.intestatari[1]","flagIrreperibile","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Stato di residenza","NO","evento.intestatari[1]","idStatoResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Stato di residenza - Descrizione","NO","evento.intestatari[1]","nomeStatoResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di residenza","NO","evento.intestatari[1]","idProvinciaResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia di residenza - Descrizione","NO","evento.intestatari[1]","siglaProvinciaResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di residenza","NO","evento.intestatari[1]","idComuneResidenza","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune di residenza - Descrizione","NO","evento.intestatari[1]","nomeComuneResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Indirizzo di residenza","NO","evento.intestatari[1]","indirizzoResidenza","184","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","flag dichiarante","SI","evento.intestatari[1]","flagDichiarante","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","flag comparente","SI","evento.intestatari[1]","flagComparente","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Firmatario","NO","evento.intestatari[1]","flagFirmatario","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Età(anni)","NO","evento.intestatari[1]","anni","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia AIRE","NO","evento.intestatari[1]","idProvinciaAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Provincia AIRE - Descrizione","NO","evento.intestatari[1]","siglaProvinciaAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune AIRE","NO","evento.intestatari[1]","idComuneAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Comune AIRE - Descrizione","NO","evento.intestatari[1]","nomeComuneAIRE","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Sposa","Residenza al momento dell'evento originario","NO","evento.intestatari[1]","residenzaOriginaria","","evento.datiEventoMatrimonio.regimePatrimoniale.idTipoConvenzioneMatr,=,2 || evento.datiEventoMatrimonio.regimePatrimoniale.attoNotarile,=,false"
"Dettagli evento","Scelta del regime patrimoniale","SI","evento.datiEventoMatrimonio.regimePatrimoniale","idTipoConvenzioneMatr","","obbligatoria"
"Dettagli evento","Con atto notarile","NO","evento.datiEventoMatrimonio.regimePatrimoniale","attoNotarile","","obbligatoria"
"Dettagli evento","Omologazione oppure mutamento tramite legge 142","NO","evento.datiEventoMatrimonio.regimePatrimoniale","omologazione","","obbligatoria"
"Dettagli evento","Scelta tra omologazione e autorizzazione giudiziaria","NO","evento.datiEventoMatrimonio.regimePatrimoniale","idTipoMutamentoConvenzioneMatr","","obbligatoria"
